Cost_bps,Strategy,CAGR,AnnVol,Sharpe,MaxDD,CVaR95,AnnTurnover
0,EqualWeight,0.09600696436189993,0.08057223024920586,1.1801044054285172,-0.15567670975762649,-0.011654408663166175,0.029994676458411862
0,60/40,0.10034400177855551,0.11298157044411215,0.9043395766841205,-0.21889838457810262,-0.016868219920446553,0.02531602396616378
0,CVaR-Optim,0.08644638053134757,0.06919443521281729,1.2349586933962857,-0.157249725638276,-0.010053928728509378,0.027670289972080424
5,EqualWeight,0.09600696436189993,0.08057223024920586,1.1801044054285172,-0.15567670975762649,-0.011654408663166175,0.029994676458411862
5,60/40,0.10034400177855551,0.11298157044411215,0.9043395766841205,-0.21889838457810262,-0.016868219920446553,0.02531602396616378
5,CVaR-Optim,0.08644638053134757,0.06919443521281729,1.2349586933962857,-0.157249725638276,-0.010053928728509378,0.027670289972080424
10,EqualWeight,0.09600696436189993,0.08057223024920586,1.1801044054285172,-0.15567670975762649,-0.011654408663166175,0.029994676458411862
10,60/40,0.10034400177855551,0.11298157044411215,0.9043395766841205,-0.21889838457810262,-0.016868219920446553,0.02531602396616378
10,CVaR-Optim,0.08644638053134757,0.06919443521281729,1.2349586933962857,-0.157249725638276,-0.010053928728509378,0.027670289972080424
25,EqualWeight,0.09600696436189993,0.08057223024920586,1.1801044054285172,-0.15567670975762649,-0.011654408663166175,0.029994676458411862
25,60/40,0.10034400177855551,0.11298157044411215,0.9043395766841205,-0.21889838457810262,-0.016868219920446553,0.02531602396616378
25,CVaR-Optim,0.08644638053134757,0.06919443521281729,1.2349586933962857,-0.157249725638276,-0.010053928728509378,0.027670289972080424
